Sentence,Class
ለአብነት አንድ ትልቅ ፋብሪካአሠሪ ድርጅት በአለም አቀፍ ደረጃ የተከሰተውን የኮሮና ቫይረስ ወረርሽኝ  በድርጅቱ ሠራተኞች ላይ የከፋ ችግር እንዳያስከትል ለመከላከል ይችል ዘንድ ለዚሁ ተግባር አስፈላጊ የሆኑ የጤናም ይሁን ሌሎች ተግባራትን የሚያከናውኑ ሠራተኞችን ለተወሰነ ጊዜሥራ ቀጥሮ ሊያሰራ የሚችልበት ሁኔታ ይኖራር,Labor law
የቀረበባቸውን ማናቸውንም ማስረጃ የመመልከት፣ የቀረቡባቸውን ምስክሮች የመጠየቅ፣ ለመከላከል የሚያስችላቸውን ማስረጃ የማቅረብ ወይም የማስቀረብ እንዲሁም ምስክሮቻቸው ቀርበው እንዲሰሙላቸው የመጠየቅ መብት አላቸው,Constitutional law
በወኪል አማካይነት ስለሚደረግ የማጓጓዝ ውል ስለ ውክልና ስለ ኮሚሲዮንና ስለ ሥራ አመራር በሚለው በፍትሐ ብሔር ሕግ በቊ 2ሺ251 በተመለከተው መሠረት ይፈጸማል,commercial law
ውሳኔውን ለሰጠው ፍርድ ቤት የተወሰን ዳኝነት በመክፈል አቤቱታውን ለማቅረብ ይችላል,Civil law
ተጠርጣሪው በፖሊስ ጣቢያ ቃሉን ሲሰጥ በፍቃዱ ለመስጠቱ ውዝግብ ስለሚፈጥር ተመራጩ መንገድ በ 35 መሰረት ፍቤት ሄዶ ቃሉን እንዲሰጥ ማድረግ ነው,Criminal law
የኢትዮጵያ የግዛት ወሰን የፌዴራሉን አባሎች ወሰን የሚያጠቃልል ሆኖ በዓለም አቀፍ ስምምነቶች መሰረት የተወሰነው ነው,Constitutional law
የሕዝብንም የልማት እንቅስቃሴዎች መደገፍ አለበት,Constitutional law
አንድ ሰው የክብር መዝገብ ሹም ፊት በመቅረብ አባት መሆኑን በመግለፅ በሚሰጠው ቃል,Family law
የሕገ መንግሥት ጉዳዮች አጣሪ ጉባኤ በዚህ ሕገ መንግሥት ተቋቁሟል,Constitutional law
የሕዝብ ተወካዮች ምክር ቤት አባላት፤ ሁሉ አቀፍ፣ ነጻ ፣ ቀጥተኛ፣ ትክክለኛ በሆነና ድምጽ በሚስጥር በሚሰጥበት ሥርዓት በየአምስት ዓመቱ በሕዝብ ይመረጣሉ,Constitutional law
ቁጥር በሆነ ቀን ከተጻፈበት ቀን አንሥቶ በተወሰነ ጊዜ ከቀረበ በኋላ በተወሰነ ጊዜ የሚከፈልበት የሐዋላ ወረቀት አምጪ ተካፋይ በሆነበት ቀን ከሚከተሉት ሁለት የሥራ ቀኖች ባንዱ ለማስከፈል የሐዋላ ወረቀትን ማቅረብ አለበት,commercial law
በመሠረቱ ቀለብ የመስጠት ግዴታ የሚፈጸመው ቀለብ ሰጪው ለቀለብ ተቀባዩ የቀለቡን ገንዘብ በመስጠት ነው,Family law
በሌላ በኩል ደግሞ ህጉ ፀንቶ ያለ ከመሆኑ በላይ በአሁኑ ሰአትም በተግባር አንቀፅ 38 መሰረት መመርያ መስጠት ያልቀረ በመሆኑ በመዝገቡ ላይ በወቅቱ አስፈላጊውን ውሳኔ መስጠት ሲያዳግተው ይታያል,Criminal law
በመሠረቱ ክሱ የቀረበው ሥልጣኑ ለሚፈቅድለት ፍርድ ቤት ሆኖ ለክርክሩ መነሻ የሆ የገንዘብ መጠን በጊዜው ኢኮኖሚ መለዋወጥ ምክንያት የቀነሰ የጨመረ  የዚህ ዓይነት መለዋወጥ የፍርድ ቤቱን ሥልጣን ሊነካው አይችልም,Civil law
ከዚህ አኳያ የአንቀጽ 32ሀ ድንጋጌ ማግለያ የሚያደርገው በአንድ የህክምና ተቋምና ተቋሙ በሚቀጥራቸው ሐኪሞች መካከል የሚመሰረተውን የቅጥር ግንኙነት ሳይሆን ከዚህ ውጭ በሆነ ሁኔታ ለህክምና  ከህመም ለመዳን ሲባል የሚደረጉ ግንኙነቶችን ነው,Labor law
በአጠቃላይ አዋጁ ከተፈጻሚነት ወሰኑ ሊያገል የፈለገውን የውል ግንኙነት ከድንጋጌው በግልጽ ለመረዳት አስቸጋሪ ከመሆኑም በላይ ከጉዳዩ ጋር በተያያዘ የሚቀርቡ ክርክሮችም ቢሆን ብዙ ካለመሆናቸው የተነሳ የፌዴራል ጠቅላይ ፍርድ ቤት ሰበር ሰሚ ችሎቱም ቢያንስ ሊያግባባ የሚችል ወጥነት ያለው ትርጉም እንዲሰጥበት ለማድረግ ካለመቻሉም በላይ ከላይ የጠቀስነው ውሳኔም ቢሆን በራሱ ጥያቄ የሚያስነሳ ከመሆኑ አንጻር ያለአንዳች ልዩነት ለጉዳዩ ያለቀለት መፍትሔ ሰጥቷል ለማለት አያስችልም,Labor law
በሕግ በተቋቋሙ የንግድ ማኅበሮች ላይ የተሰጠው ጊዜአዊ የማገጃ ውሣኔ በማኅበሩ ላይ ብቻ ሳይወሰን ተግባራቸው እንዳይቀጥል ለጊዜው እንዲታገድ ተገቢ ሆኖ በሚገመቱት በማኅበሩ አባሎችና በሥራ መሪዎቹም ላይ ተፈጻሚ ይሆናል,Civil law
ተከሳሹ ሞቶ ከሆነ በሚያቀርበው ማስረጃ መሰረት ክሱ የሚቋረጥ ሲሆን፣ ዋሱም ራሱ ከሞተ ዋስትናው ቀሪ ሆኖ ማያዣዎቹ ለሕጋዊ ወራሾቹ ይመለሳሉ ተከሳሹ ተደብቆ ለመቅረብ ፈቃደኛ ሳይሆን ቀርቶ ከሆነ አንቀፅ 70 1 ላይ በተደነገገው መሰረት ፍርድ ቤቱ ተከሳሹ ተፈልጎ እንዲያዝ ዋሱም በግዴታ የገባበትን ገንዘብ ለመንግስት ገቢ እንዲያደርግ ያዛል,Criminal law
ክርክሩ በመሰማት ላይ ባለበት በማናቸውም ጊዜ ከተከራካሪዎቹ ወገኖች አንዱ ለፍርድ ቤት ያመለከተ መሆኑን ባላጋራው ለሆ ለሌላው ወገን በሚገባ ሲያስታውቅ ፍርድ ቤቱ ተገቢ መስሎ በሚገምተው ሁኔታ ነገሩን ለማፋጠን,Civil law
ባለውም ህግ ቢሆን ህገ መንግስቱን ተከትሉ መስራት ይገባል,Criminal law
ሽብርተኝነትን ለመከላከልና ለመቆጣጠር የወጣው አዋጅ አዋጅ ቁጥር 6522001 በአንቀፅ 20 5 በግልፅ እንዳስቀመጠው በሽብርተኝነት የተጠረጠረ ሰው ክስ የቀረበበት ከሆነ ፍርድ ቤቱ ክሱ ሰምቶ ውሳኔ እስኪ ሰጥ ድረስ ተከሳሹ በማረፍያ ቤት እንዲቆይ ማድረግ እንዳለበት በግልፅ ደንግጓል,Criminal law
የአዲስ አበባ ነዋሪዎች በዚህ ሕገ መንግሥት በተደነገገው መሰረት በፌዴራሉ የሕዝብ ተወካዮች ምክር ቤት ይወከላሉ,Constitutional law
ለትርፍ የቆመ ድርጅት ካልሆነ በስተቀር ክልሎች በፌዴራሉ መንግሥት ንብረት ላይ፣ የፌዴራሉ መንግሥትም በክልሎች ንብረት ላይ ግብር ወይም ቀረጥ የማስከፈል ሥልጣን አይኖራቸውም,Constitutional law
የትምህርት የሥልጠናና የልምድ መመዘኛዎች ከአጠቃላይ የሀገሪቱ መመዘኛዎች ጋር የተቀራረቡ መሆናቸውን የማረጋገጥ ኃላፊነት ይኖርበታል,Constitutional law
የእርሻ የደን ማልማት ሥራ የሚሠሩ ከብት የሚያረቡ የግጦሽ ሣር የሚያሳድጉ ከሚሠሩበት ከሚያዙበት መሬት የአገኙትን ሰብል ቢሸጡ በሚሠሩበት በሚያዙበት መሬት ባገኙት አላባ እየቀለቡ ያረቡአቸውን ከብቶችና ርቢዎቻቸውን ቢሸጡ ነጋዴዎች አይባሉም,commercial law
አንድ ተጠርጣሪ በወንጀል ምርመራ ጊዜ በሚሰጠዉ ቃል ጽሁፍ ላይ ከፈረመበትና ፊርማዉ የራሱ መሆኑን ካረጋገጠ ለዚህ ቃል ትክክለኛነት በተለይም ማስጠንቀቂያዎች የተሰጡት መሆኑ ተጽፎ ከሆነ ማረጋገጫ አይሆንም,Criminal law
ዋስትና ለመስጠት ያልቻለ  ፈቃደኛ ያልሆነ  በማረፊያ ቤት እንዲቆይ ያደርገዋል,Civil law
በማስረጃ አቅራረብ ደንብ ለአስረጂነት ተገቢ አይደሉም የሚባሉትን ጽሑፎች ማስረጃዎች በዚህ ቁጥር የተመለከተው ድንጋጌ ተቀባይነት እንዲኖራቸው የሚፈቅድ አይደለም,Civil law
የውጭ ሀገር ዜጐች የኢትዮጵያ ዜግነት ሊያገኙ ይችላሉ,Constitutional law
አካለመጠን ያልደረሰው ልጅ ሞግዚት የልጁ ወላጅ ባልሆነ ጊዜ አካለመጠን ያልደረሰውን ልጅ ሀብት መልካም አስተዳደር በሚመለከት ለሞግዚቱ መመሪያ እንዲሰጥ የልጁ ወደላይ ከሚቆጠሩ ወላጆች,Family law
ህገወጥነት ካለ ውጤቱ ምን ይሆናል የሚለው ቀደም ብሎ የተገለጸው እዚህ ጋርም አግባብነት ይኖረዋል,Criminal law
የተፈፀመ ወንጀልም ከሆነ ግለሰቡ ከመያዙ በፊት ለጥርጣሬ የሚያበቃ በቂ የመጀመሪያ ደረጃ ያለበለዚያ በይሆናል ሰውን ይዞ መነሻ ማስረጃ ለመፈለግ የጊዜ ቀጠሮ መጠየቁ በግለሰቡ መብት ላይ ከፍተኛ ጫናን ሊያስከትል ይችላል,Criminal law
በሥረ ነገሩ ለመዳኘት ሥልጣን የሌለው ፍርድ ቤት የክስ ማመልከቻ የቀረበለት በዚህ ሕግ በቁጥር 231 በተነገረው ድንጋጌ መሠረት ማመልከቻው ተቀባይነት የለውም በማለት መመለስ አለበት,Civil law
ይህንን ተከትሎ በዚህ  ረገድ  የሚነሱትን  አለመግባባቶች  በትንሹም  ቢሆን  ለማቃለል  ሲባል   አሠሪው ይህንን ግዴታ የመወጣት ኃላፊነት ስለአለበት በአንቀጽ 1212 መሰረት አሠሪው ሥራ የመምራት ስልጣኑን ተግባራዊ ለማድረግ የሚያዘጋጃቸውን የሥራ ደንቦችና መመሪያዎች ይዘት ለሠራተኞቹ የማስተዋወቅ ግዴታ ተጥሎበታል,Labor law
እነዚህም ጽሑፎች ለፍርድ ቤቱ ሲደርሱ መጥሪያውንለተከሳሹ መስጠት ላለመቻሉ በቂ ማሰረጃ ይሆናል,Civil law
በፍትሐብሔር ሕግ አንቀጽ 2641 በተሰጠው ትርጉም መሰረት የሆስፒታል ውል ማለት አንድ የህክምና ተቋም አንድ  ከአንድ በላይ ሐኪሞችን በመመደብ ታካሚው የህክምና አግልግሎት እንዲያገኝ የሚደረግ ውል ነው,Labor law
የጋብቻ ውል እንዲሻሻል የቤተሰቡ ጥቅም የሚጠይቅ ሲሆንና ተጋቢዎቹ ሲስማሙ ውሉን በማሻሻል ፍርድ ቤት እንዲፀድቅላቸው መጠየቅ ይችላሉ,Family law
ማንኛውም ኃላፊና የሕዝብ ተመራጭ ኃላፊነቱን ሲያጓድል ተጠያቂ ይሆናል ሕዝብ በመረጠው ተወካይ ላይ እምነት ባጣ ጊዜ ከቦታው ለማንሳት ይችላል,Constitutional law
በስጦታው ውል በኑዛዜው ቃል በሌላ አኳኋን ካልተመለከተ በስተቀር፣ በስጦታ በኑዛዜ ለተጋቢዎቹ የተሰጧቸው ንብረቶች ሁሉ የጋራ ሀብቶቻቸው ይሆናሉ,Family law
ተቃራኒ ድንጋጌ ከሌለ በቀር በዚህ ሕግ ሥልጣን የተሰጣቸው ፍርድ ቤቶች ለደረጃቸው ትይዩ የሆን ክርክር ለመቀበልና ዳኝነት ለማየት ይችላሉ,Civil law
የፌዴራል መንግሥት በዚህ ሕገ መንግሥት አንቀጽ 5 ከተሰጡት ሥልጣን እና ተግባሮች እንደአስፈላጊነቱ ለክልሎች በውክልና ሊሰጥ ይችላል,Constitutional law
በዚህ ሕግ ስለማመልከቻና ስለ አቤቱታ አቀራረብ ጉዳይ የተነገረው ድንጋጌ እንደተጠበቀ ሆኖ ማናቸውም ክስ እንደቀረበ የሚቆጠረው ዳኝነት እንዲታይ የሚጠየቅበት የክስ ጽሑፍ ለፍርድ ቤቱ መዝገብ ቤት በቀረበ ጊዜ ነው,Civil law
ከባልና ሚስት አንደኛው ችሎታ ያጣ፣ የጠፋ ቤተሰቡን ጥሎ የሔደ,Family law
የጤና፣ የትምህርት፣ የባሕልና ታሪካዊ ቅርስ፣ የሳይንስና ቴክኖሎጂ ሀገር አቀፍ መመዘኛዎችና መሰረታዊ የፖሊሲ መለኪያዎችን ያወጣል፤ ያስፈጽማል,Constitutional law
ከዚህ በላይ ባለው ንዑስ ቁጥር እንደተመለከተው ክሱን ለመቀጠል መብት አለን የሚሉት ወገኖች ዋናው ከሳሽ ከሳሾች በሞቱ በአንድ ዓመት ውስጥ ክሱን ለመቀጠል እንዲፈቀድላቸው ሳያመለክቱ የቀሩ የተጀመረው ክርክር ውድቅ ይሆናል,Civil law
የአሠሪና ሠራተኛን ግንኙነት ለራሳቸው ለተዋዋይ ወገኖች ብቻ ልቅ አድርጎ ከመተው ይልቅ ግንኙነቱን የሚገዛ ራሱን የቻለ ሕግ ከማውጣትም ባለፈ መንግስትም በግንኙነቱ ጣልቃ እንዲገባ አስገዳጅ የሚያደርጉ ምክንያቶች መኖራቸው ግልጽ ነው,Labor law
የፈቃድ መኖር አስፈላጊ ቅድመ-ሁኔታ ቢሆንም ልውውጥ በሌለበት ብቻውን ግንኙነቱን እንደማይመሰርት ልብ ሊባል ይገባል,Labor law
28 1 መሰረት የተሰራው አቤቱታ የቀረበበት ወንጀል በጽኑ እስራት ይህንን በመሰለ ተለዋጭ ቅጣት የማያስቀጣ ሲሆን ወንጀል የተሰራ ለመሆኑእንዲቀርብ የተጠራው,Criminal law
ማናቸውም ሰው ያንድ ሰው እንደራሴ ነኝ በማለት ሥልጣን ሳይሰጠው በሀዋላ ወረቀት ላይ ፊርማውን ያደረገ በወረቀቱ መሠረት የተገደደ ይሆናል,commercial law
ይህ ሕግ የንግድ መያዣ እንዲመዘገብ ባስገደደ ጊዜ በዚሁ ሕግ ላይ የተመለከቱት ዝርዝሮች ንግዱ ተቋቁሞ በሚገኝበት አውራጃ ግዛት ይመዘገባሉ,commercial law
በህገመንግሥቱ የአካል ደኅንነት መብት ከሌሎች መብቶች በተለየ ሁኔታ ምንም ገደብ ያልተቀመጠለት ከመሆኑ አኳያ እንዲህ አይነቱን የኃይል አጠቃቀም ህጋዊ ሆኖ ማከናወን ይቻላልን,Criminal law
ከዚህ በላይ በተመለከተው ንዑስ ቁጥር መሠረት ፍርድ ቤቱ ተተኪ ዳኛ የሚሾመው ተከራካሪዎቹ ወገኖች አንደኛው ወገን በመሐላ በተደገፈ ቃል  በሚያቀርበው ተራ ማመልከቻ ፍርድ ቤቱ ራሱ አስፈላጊ መሆኑን የተረዳው  ነው,Civil law
መሠረት  ሠራተኛው  በሥራው   ና በሥራ ደንቡ መሠረት በአሠሪው የሚሰጠውን ትእዛዝ የመፈፀም እንዲሁም የሥራ ደንቦችን እና በሕግ መሠረት የሚተላለፉ መመሪያዎችንና ትዕዛዞችን የማክበር ግዴታ በግንባር  ቀደምትነት  ሊጠቀሱ የሚችሉ ተጨማሪ  ግዴታዎች ሆነው ተቀምጠዋል,Labor law
የዋሱ ግዴታ መለኪያዎች ከሆኑት አንድ በዋስትና ወረቀቱ ግዴታ የገባበትን የገንዘብ ልክ መክፈል መቻል ያለመቻሉ ነው,Criminal law
መዝጋቢው ከሁለት የማያንሱ ምስክሮች ባሉበት በፍርድ ቤቱ ትእዛዝ ላይ ተለይቶ የተገለጸውን የንብረት ዝርዝር ያዘጋጃል ዝርዝሩም ከዚህ ቀጥሎ የተመለከቱትን ነገሮች ይይዛል,Civil law
ፍርድ ቤቱ በሰጠው መጥሪያ በወሰ ፍርድ በሰጠው ውሣኔና ትእዛዝ ላይ የአጻጻፍ ስሕተት የቍጥር አጻጻፍ ጉድለት ያልታሰበና ባለማስተዋል የተዘለለ ድንገተኛ የቃል ስሕተት መኖሩን ራሱ ያረጋገጠ ከባለ ጉዳዮቹ አንዱ ሲያመለክት ከዚህ በላይ ባለው ቍጥር 207 የተነገረውን የሥነ ሥርዓት ጉድለት የሚመለከት ጉዳይ ካልሆነ በቀር ፍርድ ቤቱ ሊያርመው ይችላል,Civil law
ምን አልባት ይህ የሆነበት ምክንያት በአሠሪና በሠራተኛ መካከል የሚፈጠሩ አለመግባባቶች ብዙውን ግዜ በሰነድ ማስረጃዎች ላይ የተመሰረቱ ከመሆናቸው አንጻር ሠራተኛው እነዚህን አስፈላጊ የሰነድ ማስረጃዎች አቅርቦ የማስረዳት ዕድሉ የጠበበ ሊሆን መቻሉን ግምት ውስጥ ያስገባ ነው,Labor law
አንድ ክርክር በመቀጠል ላይ ሳለ ለክርክሩ መነሻ የሆ ንብረት መብት በስጦታ በውርስ በግዢ በዳርጎት በማናቸውም ሌላ ምክንያት ተላልፎልኛል የሚል ሰው ጥቅሙን በሚመለከቱ ጉዳዮች በክርክሩ ተካፋይ እንዲሆን ያቀረበውን ጥያቄ ፍርድ ቤቱ የተቀበለው በከሳሽነት በተከሳሽነት የክርክሩ ተካፋይ ለመሆን ይችላል,Civil law
ያለ ፍቤት ትእዛዝ ህግን ተከትሎ ብርበራ በማከናወን የወንጀል ማስረጃን መያዝ ይችላል,Criminal law
ወካዩ በተቻለው መጠን የወኪሉ ሥራ የተቃና እንዲሆንለት የሚቻለውን ሁሉ ያደርግለታል መረጃዎችና የዕቃ ዐይነቶች እንዲደርሱት ያደርጋል,commercial law
አንቀጽ 24 የክብርና የመልካም ስም መብት ማንኛውም ሰው ሰብዓዊ ክብሩና መልካም ስሙ የመከበር መብት አለው,Constitutional law
የተሾመውን ከሥራው ሊሽር ከውሳኔው በፊት በተቻለ መጠን ከልጁ ወደላይ የሚቆጠሩ ወላጆች አካለመጠን ከደረሱ ወንድሞቹና እህቶቹ ጋር መመካከር ይገባዋል,Family law
ከሳሹ ወንጀል መፈጸሙንና አድራጊው የተጠቆመው ሰው መሆኑን አስመልክቶ የሚሰጠው የከሳሽነት ቃል፤ ተከሳሹ  27 መሰረት የሚሰጠው የተከሳሽነት ቃል ናቸው,Criminal law
በብቸኝነት ለመኖር የተወሰነውን ጊዜ እንዳትጠብቅ ፍርድ ቤት የወሰነ እንደሆነ በብቸኝነት ለመኖር ስለተወሰነው ጊዜ የተደነገገው ተፈፃሚ አይሆንም,Family law
ማንኛውም የተፈጥሮ ሰው አንቀፅ 28 እና 63 1 በዋስትና እንዲለቀቅ በፖሊስ,Criminal law
ሌላው እዚህ ላይ ግንዛቤ ሊወሰድበት የሚገባው ነገር ቢኖር እነዚህ ግዴታዎች በሙሉ አንደኛው ለሌላኛው መፈጸም የሚገባቸው ተነጻጻሪ ግዴታዎች ብቻ ናቸው በሚል ለማደማደም አይቻልም,Labor law
ይሁን እንጅ አንድ አሠሪ የቀጠረውን ሠራተኛ በሙከራ ጊዜ አጥጋቢ ውጤት አላሳየህም በማለት የሥራ ውለን ያለምንም ማስጠንቀቂያ ለማቋረጥ መብት የሚኖረው ቀድሞውኑ በሕጉ አግባብ የተደረገ የሙከራ ጊዜ የሥራ ውል ስምምነት መኖሩ ከተረጋገጠ ብቻ ነው,Labor law
ከዚህ አንጻር የሙከራ ጊዜ መቆጠር መጀመር ያለበት ከተቀጠረበት ጊዜ ጀምሮ እንጅ ብቀጠርም ገና ሥራ ስላልጀመርኩ ለሥራው ብቁ መሆን አለመሆኔ ሳይታወቅ ብቁ አይደለህም ተብዬ የሙከራ ጊዜ ቅጥሬ ሊሰረዝ አይገባም የሚል ጥያቄ ሊነሳ አይችልም,Labor law
መንግስት ደግሞ የራሱን የአስተዳደር ሠራተኞች መሰረታዊ መብቶች የሚጥስ ሕጎችን ሊያወጣ ይችላል ተብሎ የሚገመት ካለመሆኑም ባሻገር ይህ የአሠሪና ሠራተኛ አዋጁም ቢሆን መንግስት በራሱ ቀጥተኛ ቁጥጥር ስር ያልሆኑ ሠራተኞች መሰረታዊ መብቶችም ቢሆኑ በአሠሪዎቻቸው ያለአግባብ እንዳይጣሱ ካለው ፍላጎት የተነሳ የአሠሪውንና የሠራተኛውን የሥራ ግንኙነት ለሁለቱ ብቻ ከመተው ይልቅ ጣልቃ በመግባት በተቻለ መጠን የሠራተኞችን መሰረታዊ መብቶች ለማስጠበቅ ከመፈለግም ጭምር የተደነገገ አዋጅ መሆኑን ግምት ውስጥ ማስገባት ያስፈልጋል,Labor law
ከህክምና ጋር በተያያዘ ደግሞ በፍትሐብሔር ሕጉ ላይ የሚገኙ ሁለት ተዛማጅ ውሎች የህክምና ውል እና የሆስፒታል ውል ሲሆኑ ሁለቱም ከታካሚው ጋር የሚደረጉ ውሎች ናቸው,Labor law
እንዲሁም ከቤቱ ዉስጥ ለመግባት የተከለከለ እንደሆነ ተገቢ በሆነ ኃይል ለመግባት ይችላል,Criminal law
የፈጠራና የኪነ ጥበብ መብቶችን ያስጠብቃል,Constitutional law
አንቀጽ 22 የወንጀል ሕግ ወደኊላ ተመልሶ የማይሰራ ስለመሆኑ ማንኛውም ሰው የወንጀል ክስ ሲቀርብበት የተከሰሰበት ድርጊት በተፈጸመበት ጊዜ ድርጊቱን መፈጸሙ ወይም አለመፈጸሙ ወንጀል መሆኑ በሕግ የተደነገገ ካልሆነ በስተቀር ሊቀጣ አይችልም,Constitutional law
ንብረት ነክ ጥቀሞቹንና በአጠቃላይ የንብረቱን አስተዳደር በሚመለከት በሞግዚቱ ይወከላል,Family law
ማንኛውም አቤቱታ በዋናው ባለጉዳይ በጠባቂው መፈረም አለበት ዋናው ባለጉዳይ አቤቱታውን በቂ በሆነ ምክንያት ለመፈረም ያልቻለ ስለ ዋናው ባለጉዳይ ሆኖ ሊከስ ሊከስስ የሚችል በስሙ ለመፈረም ሥልጣን የተሰጠው ሰው መፈረም አለበት,Civil law
ከዚህ በላይ ባለው ንዑስ ቁጥር የተመለከተው ድንጋጌ መዝገቡ በተዘጋ በአንድ ወር ጊዜ ውስጥ እንደገና ተከፍቶ ነገሩ እንዲታይለት ከሳሹ ሊጠይቅ የሚችልበትን መብት አያስቀርበትም ከሳሹ በቀዳሚው ቀነ ቀጠሮ ሳይቀርብ የቀረው በቂ ሆኖ በሚገመት እክል ምክንያት መሆኑን ፍርድ ቤቱ የተረዳው ስለኪሣራውና ስለማናቸውም ወጭ አከፋፈል ተስማሚ መስሎ የታየውን ውሳኔ ከሰጠ በኋላ የተዘጋው መዝገብ እንደገና ተከፍቶ ነገሩ እንዲቀጥል ትእዛዝ ሰጥቶ የሚሰማበትን ቀነ ቀጠሮ ይወስናል,Civil law
በአንድነትና ሳይከፋፈል ያልተወሰነ ኅላፊነት ያለባቸው ማኅበረተኞች ያሉበት ማኅበር ስምምነት በጠየቀ ጊዜ ገንዘብ ጠያቂዎቹ ስምምነቱን ላንዱ ለብዙዎቹ ማኅበረተኞች ብቻ ሊፈቅዱላቸው ይችላሉ,commercial law
በውል ሕግ ጠቅላላ ደንቦች በተደነገገው መንገድ በተዋዋይ ወገኖች መካከል የውል አቀራረብና አቀባበል ቅድመ-ሁኔታዎች ተሟልተው ስምምነት መፈጠሩ የሥራ ውልን ለመመሥረት ወሳኝነት ቢኖረውም ስምምነቱ በራሱ የሥራ ውልን አያቋቁምም,Labor law
በአንዳንድ ብይኖች ወንጀሉና ለዋስትና የሚያዘው ገንዘብ ተመጣጣኝነት የለውም,Criminal law
በአሠሪና በሠራተኛ መካከል ሊፈጠር የሚችለው ግንኙነትም መሰረቱ በአሠሪውና በሠራተኛው መካከልየሚደረገው ውል ስለመሆኑየፌደራል ጠቅላይ ፍርድ ቤትሰበር ሰሚ ችሎትበሚከተለው መልኩ አብራርቶታል,Labor law
በዚህ ሕግ በቁጥር 65 የተመለከተው ድንጋጌ እንደተጠበቀ ሆኖ በማናቸውም ፍርድ ቤት ችሎት አቤቶታ ማቅረብ,Civil law
የጋራ የሆነውን የማይንቀሳቀስ ንብረት ለመሸጥ፣ ለመለወጥ፣ ለማከራየት በመያዣ በዋስትና ለመስጠት በሌላ በማናቸውም ሁኔታ በዚሁ ንብረት ላይ ሌሎች ሰዎች መብት እንዲያገኙ ለማድረግ,Family law
በፍትሐብሔር ሕግ አንቀጽ 2641 በተሰጠው ትርጉም መሰረት የሆስፒታል ውል ማለት አንድ የህክምና ተቋም አንድ  ከአንድ በላይ ሐኪሞችን በመመደብ ታካሚው የህክምና አግልግሎት እንዲያገኝ የሚደረግ ውል ነው,Labor law
ማናቸውም የኢትዮጵያ ቋንቋዎች በእኩልነት የመንግሥት እውቅና ይኖራቸዋል,Constitutional law
ይሁን እንጅ ከዚህ በተለዬ ሁኔታ ሠራተኛው ለመሥራት ዝግጁ ሆኖ እያለ በሠራተኛው ጥፋት ሳይሆን አሠሪው ይሕንኑ ሥራም ሆነ ለሥራው የሚያስፈልገውን ጥሬ ዕቃና መሳሪያ ባለመስጠቱ ምክንያት ሠራተኛው ሳይሰራ ቢቀር በዚህ ምክንያት ላልተሰራም ሥራ አሠሪው ደመወዝ የመክፈል ግዴታ በልዩ ሁኔታ ተጥሎበታል,Labor law
መርማሪው በፊደል  በተጠቀሱት መደምደሚያዎች ላይ ከደረሰ ተከሳሹን  በ3ኛ ሠንጠረዥ በ1ኛ ፎርም ላይ በተገለፀው መልክ የራስ ዋስትና ወረቀት አስፈርሞ ሊለቀው ይችላል,Criminal law
ቁጥራቸው ከአንድ በላይ በሆኑ ተከሳሾች ላይ የሚቀርበው ክስ ከተከሳሾቹ አንዱ በሚኖርበት በግል ጥቅሙን ሥራ በሚያከናውንበት ክፍለ በሚያስችለው ባለሥልጣን ፍርድ ቤት ነው,Civil law
ቀለብ ተቀባዩ ስምምነቱን ወዶ የተቀበለ እንደሆነ ይህንን ስምምነት የማያከብርበት ከባድ ምክንያት ካልተገኘ በስተቀር ቀለቡን ከሌሎቹ ቀለብ ሰጪዎች መጠየቅ አይችልም,Family law
የዋናው ክስ መነሳት መሠረዝ ተከሳሹ በከሳሽነት የሚያቀርበውን ክስ ፍርድ ቤቱ ተቀብሎ እንዳያይ ሊያግደው አይችልም,Civil law
በሕግ በተቋቋሙ የንግድ ማኅበሮች ላይ የተሰጠው ጊዜአዊ የማገጃ ውሣኔ በማኅበሩ ላይ ብቻ ሳይወሰን ተግባራቸው እንዳይቀጥል ለጊዜው እንዲታገድ ተገቢ ሆኖ በሚገመቱት በማኅበሩ አባሎችና በሥራ መሪዎቹም ላይ ተፈጻሚ ይሆናል,Civil law
በአንድ ወንድና በአንዲት ሴት መካከል ጋብቻ ሳይፈፀም እንደባልና ሚስት አብሮ የመኖር ግንኙነት ስለመኖሩ ክርክር የተነሳ እንደሆነ ጉዳዩን አይቶ ለመወሰን ስልጣን የሚኖረው ፍርድ ቤት ብቻ ነው,Family law
ከሰንደቅ ዓላማው ላይ የሚቀመጠው ብሔራዊ ዓርማ የኢትዮጵያ ብሔሮች፣ብሔረሰቦች፣ ሕዝቦች እና ሃይማኖቶች በእኩልነትና በአንድነት ለመኖር,Constitutional law
የተባዙትን ጽሑፎች ለልዩ ልዩ ሰዎች ያስተላለፈ በቼኩ ጀርባ የፈረመ ሰውና እንዲሁም ከእሱ በኋላ በቼኩ ላይ የፈረሙ ሰዎች ሁሉ ፊርማቸው ላሉባቸው ለተባዙትና ላልተመለሱት ጽሑፎች ኅላፊዎች ናቸው,commercial law
የተለያዩ ሀገራት እንደ ሀገራቸውነባራዊ ሁኔታና እንደሚከተሉት የሥራ ፖሊሲ የአሠሪን ትርጓሜ ሊያጠቡት  ሊያሰፉት ይችላሉ,Labor law
